rsid,Gene,Environmental Factor,Effect on SNP,Explanation
rs61816761,FLG,"Dry climate; low humidity; exposure to irritants (soaps, detergents)","Exacerbates skin barrier dysfunction","Environmental factors worsen the compromised skin barrier caused by FLG mutations, increasing risk of dryness and eczema."
rs1126809,TYR,"UV exposure","Influences melanin production","UV exposure stimulates melanin synthesis; TYR variants affect the pigmentation response."
rs1042602,TYR,"UV exposure","Influences melanin production","UV exposure interacts with TYR variants, affecting skin pigmentation."
rs2243250,IL4,"Exposure to allergens; pollutants; irritants","Amplifies allergic responses","Environmental allergens trigger stronger immune responses due to IL4 variants."
rs4880,SOD2,"UV exposure; smoking; pollution","Increases oxidative stress","Environmental oxidative stressors exacerbate reduced antioxidant capacity from SOD2 variants."
rs1050450,GPX1,"Low selenium intake; UV exposure; smoking","Exacerbates reduced enzyme activity","Insufficient selenium and increased oxidative stress worsen the effects of GPX1 variants."
rs1800629,TNF,"Infection; stress; pollution","Heightens inflammatory responses","Environmental stressors can trigger excessive inflammation in individuals with TNF variants."
rs1801280,NAT2,"Exposure to arylamines; drugs metabolized by NAT2","Prolongs exposure to toxins","Slow acetylators have increased risk due to prolonged exposure to environmental toxins."
rs1805007,MC1R,"UV exposure","Increases risk of sunburn and skin cancer","UV exposure combined with MC1R variants heightens susceptibility to skin damage."
rs1805008,MC1R,"UV exposure","Increases risk of sunburn and skin cancer","Similar to rs1805007, UV exposure exacerbates effects of MC1R variants."
rs1805009,MC1R,"UV exposure","Increases risk of sunburn and skin cancer","UV exposure heightens risk associated with MC1R variants."
rs12203592,IRF4,"UV exposure","Affects pigmentation response","UV exposure interacts with IRF4 variants, influencing freckling and sun sensitivity."
rs1799750,MMP1,"UV exposure; smoking","Increases MMP1 expression and collagen breakdown","Environmental factors upregulate MMP1, exacerbating skin aging."
rs1800566,NQO1,"Smoking; exposure to toxins (quinones, benzene)","Increases oxidative damage","Environmental toxins increase oxidative stress not efficiently detoxified due to NQO1 variants."
rs16891982,SLC45A2,"UV exposure","Influences pigmentation and UV sensitivity","UV exposure affects melanin synthesis impacted by SLC45A2 variants."
rs1799945,HFE,"High dietary iron intake","Exacerbates iron overload","High iron intake increases iron accumulation in individuals with HFE variants."
rs3918242,MMP9,"UV exposure; smoking","Increases MMP9 expression and collagen breakdown","Environmental factors upregulate MMP9, enhancing skin aging effects."
